game, min_p, max_p, img_link, bgg_link
"7 Wonders", 2, 7, "https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__itemrep/img/F__zhk-OFDgFcMBysW2JlcYJADw=/fit-in/246x300/filters:strip_icc()/pic860217.jpg", "https://boardgamegeek.com/boardgame/68448/7-wonders"
"Battlestar Galactica", 2, 5, "https://cf.geekdo-images.com/5Q2w2rFJiFI_uV89KP6ECg__itemrep/img/2w_lWsJ_MHRfN7uJBMgcXm1aIbQ=/fit-in/246x300/filters:strip_icc()/pic354500.jpg", "https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game" 
"Camel Up", 2, 8, "https://cf.geekdo-images.com/1ph2jVOD1MudR1fK1nkwwA__itemrep/img/x5pEGB463NY3DOzCUC7wfU0itrI=/fit-in/246x300/filters:strip_icc()/pic2031446.png", "https://boardgamegeek.com/boardgame/153938/camel"
"Carcassonne", 2, 8, "https://cf.geekdo-images.com/Z3upN53-fsVPUDimN9SpOA__itemrep/img/sT0kjr-Klona2rygvD8kURJgqdU=/fit-in/246x300/filters:strip_icc()/pic2337577.jpg", "https://boardgamegeek.com/boardgame/822/carcassonne"
"Catan", 2, 6, "https://cf.geekdo-images.com/5P_kEuV33eTWApSJNS787g__itemrep/img/Y4WasIHPlXJ_42Oi3nKPfIq7Mew=/fit-in/246x300/filters:strip_icc()/pic1126839.jpg", "https://boardgamegeek.com/boardgame/152959/settlers-catan-containing-56-player-expansion"
"Celestia", 2, 6, "https://cf.geekdo-images.com/VddNmZyVWsxyebeGbu4-dg__itemrep/img/2JGKcrP7Bqz24kSFWnp2A1qPcik=/fit-in/246x300/filters:strip_icc()/pic2577990.jpg", "https://boardgamegeek.com/boardgame/175117/celestia"
"Codenames", 2, 8, "https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__itemrep/img/e8zw8YQvQB8q8zfWkHQ48Ls920g=/fit-in/246x300/filters:strip_icc()/pic2582929.jpg", "https://boardgamegeek.com/boardgame/178900/codenames"
"Forbidden Desert", 2, 5, "https://cf.geekdo-images.com/OU26qQZoHJodxSFKiR5IzA__itemrep/img/dtguSaNPQjrAA3fbRJ_S5o8czAU=/fit-in/246x300/filters:strip_icc()/pic1528722.jpg", "https://boardgamegeek.com/boardgame/136063/forbidden-desert"
"Libertalia", 2, 6, "https://cf.geekdo-images.com/LeUx57CGYdnIEsnGebOB0A__itemrep/img/xGiIDhvRpAhpEwRzyFmSHlSIK2g=/fit-in/246x300/filters:strip_icc()/pic1326136.jpg", "https://boardgamegeek.com/boardgame/125618/libertalia"
"Race for the Galaxy", 2, 6, "https://cf.geekdo-images.com/-DOqixs8uwKUvvWPKI4f9w__itemrep/img/DBzrnh_ZSypfwdfZXVOvCGBf1ig=/fit-in/246x300/filters:strip_icc()/pic5261714.jpg", "https://boardgamegeek.com/boardgame/28143/race-galaxy"
"Splendor", 2, 4, "https://cf.geekdo-images.com/rwOMxx4q5yuElIvo-1-OFw__itemrep/img/NaQx3XWoNAOMDGl4AXf4nxlhHo0=/fit-in/246x300/filters:strip_icc()/pic1904079.jpg", "https://boardgamegeek.com/boardgame/148228/splendor"
"Sushi Go", 2, 8, "https://cf.geekdo-images.com/2f9uTicUSXkdPp2Yks6zFw__itemrep/img/Y_jPOWbp6_2qOzymSNIC6SZo4TE=/fit-in/246x300/filters:strip_icc()/pic5885689.jpg", "https://boardgamegeek.com/boardgame/192291/sushi-go-party"
"The Crew", 2, 5, "https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__itemrep/img/etVRTXdF6IDsnGKQe77FRFP4H7M=/fit-in/246x300/filters:strip_icc()/pic5687013.jpg", "https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine"
"Tokaido", 2, 5, "https://cf.geekdo-images.com/-sUA2HQNFHBxOdzHE6Ywlg__itemrep/img/oNPKz7nD6d53yT7CDIquGw6moNg=/fit-in/246x300/filters:strip_icc()/pic3747956.png", "https://boardgamegeek.com/boardgame/123540/tokaido"
"Tsuro", 2, 8, "https://cf.geekdo-images.com/2V3d4ryhxkS3RoPtDrvpUw__itemrep/img/csUMnSfGhuxa8ga0gvo77dEQYC0=/fit-in/246x300/filters:strip_icc()/pic875761.jpg", "https://boardgamegeek.com/boardgame/16992/tsuro"
